param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(np)
5,0.983,1.334,0.616,0.611,0.765,1.141
10,8.227,9.052,5.24,5.365,7.749,8.816
15,21.044,22.794,13.519,12.445,19.077,20.717
20,53.555,51.238,29.609,26.849,41.181,40.763
25,100.818,100.35,50.525,45.283,76.975,82.596
30,174.424,169.51,73.252,74.645,121.143,128.529
