param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(p)
5,63.3125,62.5,58.94140625,58.9453125,35.19140625,35.109375
10,149.1640625,148.890625,95.17578125,95.37890625,71.6328125,71.17578125
15,285.6171875,284.96484375,148.7109375,149.1796875,125.15625,124.32421875
20,465.53125,460.76953125,227.08984375,227.0234375,201.5703125,199.69140625
25,681.5625,682.3046875,315.0546875,315.296875,287.421875,285.36328125
30,904.609375,904.68359375,415.71875,415.59375,385.28515625,382.57421875
