param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(np)
0,0.7,0.796,0.216,0.264,0.245,0.385
20,0.672,0.689,0.329,0.352,0.288,0.409
40,0.705,0.714,0.386,0.426,0.434,0.494
60,0.84,0.918,0.704,0.825,0.894,1.155
80,0.855,1.078,1.167,1.506,1.914,2.1
100,13.148,14.058,58.623,64.145,176.61,167.48
