param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(p)
0,130.5078125,131.125,191.87109375,192.0078125,90.0859375,89.9609375
25,61.73046875,61.1953125,39.671875,39.7265625,34.109375,33.79296875
50,50.78125,50.20703125,32.70703125,32.9921875,27.1171875,27.02734375
75,37.328125,37.15234375,26.54296875,26.87890625,21.22265625,20.96875
100,15.83984375,15.6015625,12.8046875,12.8515625,12.71484375,12.7578125
