param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(p)
5,1.783,2.865,2.291,2.541,3.312,4.576
10,5.399,6.258,7.356,7.132,11.661,12.779
15,10.13,10.481,9.282,10.537,16.005,16.893
20,16.264,16.859,9.132,9.182,12.714,15.077
25,26.158,25.964,10.939,11.367,13.888,16.646
30,37.877,35.568,14.39,13.8,14.893,18.163
