param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(p)
5,91.60546875,91.59765625,56.046875,56.19140625,44.67578125,44.203125
10,282.09765625,283.5703125,147.92578125,148.2109375,123.59375,123.12109375
15,611.484375,607.05078125,288.35546875,288.28515625,249.61328125,247.48046875
20,988.01171875,980.88671875,469.2109375,469.0859375,416.19140625,413.11328125
25,1533.0859375,1523.3515625,690.58984375,691.015625,622.1484375,616.85546875
30,2228.43359375,2214.79296875,965.9453125,965.5078125,879.7109375,871.40625
