param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(p)
0,144.666,145.573,96.808,97.741,499.829,517.467
25,0.837,0.952,0.916,0.773,1.539,1.635
50,0.424,0.552,0.346,0.289,0.463,0.603
75,0.27,0.445,0.254,0.174,0.218,0.41
100,0.021,0.021,0.015,0.008,0.009,0.013
