param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(p)
10,0.04,0.082,0.056,0.04,0.06,0.104
20,0.208,0.314,0.219,0.206,0.277,0.411
30,0.403,0.742,0.668,0.581,0.719,1.066
40,0.825,1.419,0.964,0.993,1.351,1.752
50,1.586,1.989,2.231,2.495,3.264,4.0
100,10.13,10.481,9.282,10.537,16.005,16.893
150,23.752,24.634,16.249,16.174,26.133,25.372
200,53.555,51.238,29.609,26.849,41.181,40.763
250,76.515,79.68,36.697,37.835,55.006,61.085
