param,ours,ours-HT,ours-HT-HD,ours-HT-HD-R
5,0.3673333333333333,0.326,0.3283333333333333,0.6793333333333333
10,1.3286666666666667,1.0516666666666667,1.067,1.6836666666666666
15,2.3313333333333337,2.0646666666666667,2.036,3.6983333333333337
20,4.615666666666667,4.385666666666667,4.378,9.232666666666667
25,7.004666666666667,6.94,6.855333333333333,11.653666666666666
30,9.255666666666666,9.16,9.059666666666667,16.22
