param,ours,ours-HT,ours-HT-HD,ours-HT-HD-R
5,44.458333333333336,44.455729166666664,44.4296875,66.15494791666667
10,90.25130208333333,90.24609375,90.33854166666667,130.21354166666666
15,148.93229166666666,148.94401041666666,148.81901041666666,203.81901041666666
20,215.47786458333334,215.44010416666666,215.39453125,284.6822916666667
25,299.625,299.66796875,299.6002604166667,376.1692708333333
30,383.4518229166667,383.2578125,383.1627604166667,469.3216145833333
40,592.28125,592.4270833333334,592.3033854166666,690.0299479166666
50,833.6966145833334,833.6145833333334,833.8645833333334,930.49609375
