param,ours,ours-HT,ours-HT-HD,ours-HT-HD-R
5,0.09433333333333332,0.098,0.09666666666666666,0.15066666666666667
10,0.4826666666666667,0.4513333333333333,0.4336666666666667,0.8996666666666666
15,1.27,1.2496666666666667,1.212,2.4156666666666666
20,2.3313333333333337,2.0646666666666667,2.036,3.6983333333333337
25,4.011333333333334,3.9923333333333333,3.8573333333333335,7.099666666666667
30,5.414333333333333,5.151333333333333,4.972,9.271
40,12.319333333333335,10.272333333333334,10.249,18.181
50,22.24233333333333,18.219,19.031333333333333,31.896
