param,ours,ours-HT,ours-HT-HD,ours-HT-HD-R
5,129.51432291666666,129.48177083333334,129.45572916666666,220.16927083333334
10,165.03385416666666,165.15494791666666,165.19661458333334,246.26171875
15,215.47786458333334,215.44010416666666,215.39453125,284.6822916666667
20,286.0,285.7005208333333,285.8346354166667,339.71875
25,371.6002604166667,371.5299479166667,371.72265625,410.0338541666667
30,463.4765625,463.5325520833333,463.4752604166667,479.0963541666667
