param,NuSer,SERSolver,dbcop
100,146.50390625,128.203125,70.76953125
200,478.82421875,394.1640625,10240.0
300,999.6796875,853.6328125,10240.0
400,1724.6875,1446.51953125,10240.0
500,2681.9296875,2253.81640625,10240.0
600,3724.984375,3159.953125,10240.0
700,5076.74609375,4173.71875,10240.0
