param,NuSer,SERSolver,dbcop
100,1.706,1.824,46.319
200,10.827,10.891,420.0
300,29.142,35.466,420.0
400,58.662,73.25,420.0
500,120.947,167.191,420.0
600,187.323,259.494,420.0
700,261.202,332.72,420.0
