param,mono,am
1000,2851.9296875,1201.203125
2000,1528.94921875,691.40625
3000,1043.9296875,514.78125
4000,858.41796875,424.82421875
5000,714.046875,373.55859375
6000,640.765625,333.98046875
7000,554.41015625,309.859375
8000,489.56640625,286.96484375
9000,460.23046875,272.9453125
10000,437.5625,262.17578125
