param,mono,am
10,23.44140625,23.015625
20,35.80859375,30.734375
30,52.2890625,40.42578125
40,72.93359375,51.7890625
50,102.24609375,65.33203125
100,292.828125,155.98828125
150,631.70703125,297.85546875
200,988.1484375,473.63671875
250,1528.94921875,691.40625
