param,mono,am
1000,327.134,153.937
2000,194.564,104.385
3000,181.742,114.588
4000,194.916,135.464
5000,223.182,170.559
6000,246.601,192.833
7000,284.391,230.155
8000,320.514,272.922
9000,383.44,326.193
10000,399.294,351.422
