param,ours,ours-mono,ours-PK,baseline
5,81.50130208333333,56.631510416666664,81.47786458333333,83.82291666666667
10,117.26822916666667,138.30859375,117.08984375,8796093022208.0
15,167.59244791666666,267.6263020833333,167.24869791666666,8796093022208.0
20,237.8203125,433.0286458333333,238.12369791666666,8796093022208.0
25,324.0078125,645.9466145833334,323.7994791666667,8796093022208.0
30,415.7513020833333,853.1263020833334,415.7981770833333,8796093022208.0
