param,ours,ours-mono,ours-PK,baseline
5,0.453,0.695,0.237,33.498
10,1.574,3.401,0.916,9223372036854776.0
15,3.053,8.303666666666667,2.1823333333333337,9223372036854776.0
20,4.466333333333333,15.386,3.4983333333333335,9223372036854776.0
25,7.771666666666667,25.535333333333334,6.156,9223372036854776.0
30,12.333666666666666,39.783,10.002333333333334,9223372036854776.0
