param,ours,ours-mono,ours-PK,baseline
5,32.7578125,32.779947916666664,32.708333333333336,45.856770833333336
10,66.453125,81.2109375,66.37109375,133.40364583333334
15,113.03255208333333,169.71223958333334,112.90885416666667,8796093022208.0
20,167.59244791666666,267.6263020833333,167.24869791666666,8796093022208.0
25,239.53776041666666,414.75,239.34375,8796093022208.0
30,311.4479166666667,551.2994791666666,311.43359375,8796093022208.0
