param,ours,ours-mono,ours-PK,PK-reduce-kg-enhance-pc,PK-wo-reduce-kg-enhance-pc,baseline
5,351.2513020833333,466.2317708333333,351.73828125,397.9127604166667,396.0911458333333,8796093022208.0
25,221.5390625,371.546875,221.44401041666666,324.5520833333333,269.0572916666667,8796093022208.0
50,167.59244791666666,267.6263020833333,167.24869791666666,284.4700520833333,215.02604166666666,8796093022208.0
75,120.24088541666667,164.87630208333334,120.2578125,251.47916666666666,167.80338541666666,8796093022208.0
95,84.33723958333333,66.0390625,84.11588541666667,222.05598958333334,131.859375,83.24348958333333
