param,ours,ours-mono,ours-PK,PK-reduce-kg-enhance-pc,PK-wo-reduce-kg-enhance-pc,baseline
5,0.453,0.695,0.237,0.622,0.4433333333333333,33.498
10,1.574,3.401,0.916,1.5653333333333332,1.0213333333333334,9223372036854776.0
15,3.053,8.303666666666667,2.1823333333333337,2.6973333333333334,2.1856666666666666,9223372036854776.0
20,4.466333333333333,15.386,3.4983333333333335,4.222,3.726,9223372036854776.0
25,7.771666666666667,25.535333333333334,6.156,8.309333333333335,6.648666666666667,9223372036854776.0
30,12.333666666666666,39.783,10.002333333333334,12.55,10.927333333333333,9223372036854776.0
