param,ours,baseline-pruning,baseline
5,0.20966666666666667,0.6946666666666667,15.159666666666666
10,0.459,2.1436666666666664,9223372036854776.0
15,0.989,5.188,9223372036854776.0
20,1.7736666666666667,9.776,9223372036854776.0
25,3.007,16.558333333333334,9223372036854776.0
30,4.579666666666667,30.679,9223372036854776.0
