param,ours,baseline-pruning,baseline
0,192.86588541666666,261.4830729166667,8796093022208.0
20,193.50520833333334,266.7278645833333,8796093022208.0
40,193.32682291666666,269.0,8796093022208.0
60,193.3515625,272.7213541666667,8796093022208.0
80,194.42578125,276.7994791666667,8796093022208.0
100,193.67708333333334,276.7552083333333,8796093022208.0
