param,baseline,baseline-pruning,ours
10,0.059333333333333335,0.024,0.015666666666666666
20,0.9453333333333334,0.09033333333333333,0.044333333333333336
30,5.058,0.19533333333333333,0.081
40,19.84733333333333,0.429,0.14133333333333334
50,3074457345618295.0,0.7616666666666666,0.20133333333333334
100,9223372036854776.0,5.188,0.989
150,9223372036854776.0,20.315,2.5653333333333337
200,9223372036854776.0,3074457345618291.0,5.078333333333333
250,9223372036854776.0,9223372036854776.0,8.202
