param,ours,baseline-pruning,baseline
0,0.9516666666666667,3.7646666666666664,9223372036854776.0
20,0.9683333333333334,4.060333333333333,9223372036854776.0
40,1.001,5.003,9223372036854776.0
60,0.9966666666666666,5.967333333333333,9223372036854776.0
80,1.004,6.483666666666667,9223372036854776.0
100,0.9866666666666666,7.848,9223372036854776.0
