param,ours,baseline-pruning,baseline
5,126.55989583333333,57.666666666666664,84.96354166666667
10,153.65755208333334,137.50520833333334,8796093022208.0
15,194.01692708333334,269.8515625,8796093022208.0
20,249.03125,439.8229166666667,8796093022208.0
25,317.7916666666667,644.9934895833334,8796093022208.0
30,388.9010416666667,863.23828125,8796093022208.0
