param,baseline,baseline-pruning,ours
5,9223372036854776.0,9223372036854776.0,40.17333333333334
25,9223372036854776.0,16.132666666666665,2.866
50,9223372036854776.0,5.188,0.989
75,9223372036854776.0,2.2333333333333334,0.424
95,4.925,0.5233333333333333,0.14566666666666667
