param,ours,baseline-pruning,baseline
10,21.161458333333332,14.803385416666666,16.868489583333332
20,35.5703125,25.9375,34.670572916666664
30,50.618489583333336,39.72265625,59.328125
40,67.6953125,59.809895833333336,94.76692708333333
50,84.63802083333333,81.67317708333333,2932031007488.5923
100,194.01692708333334,269.8515625,8796093022208.0
150,338.515625,592.8580729166666,8796093022208.0
200,510.3255208333333,2932031008036.1094,8796093022208.0
250,706.98046875,8796093022208.0,8796093022208.0
