param,baseline,baseline-pruning,ours
5,44.515625,32.4296875,42.518229166666664
10,5864062014848.973,82.51041666666667,84.93880208333333
15,8796093022208.0,162.4765625,134.28645833333334
20,8796093022208.0,269.8515625,194.01692708333334
25,8796093022208.0,412.6627604166667,262.3776041666667
30,8796093022208.0,588.5729166666666,337.8190104166667
