param,baseline,baseline-pruning,ours
5,1.82,0.12333333333333332,0.05333333333333334
10,6148914691236535.0,0.7133333333333334,0.19666666666666666
15,9223372036854776.0,1.975,0.4826666666666667
20,9223372036854776.0,5.188,0.989
25,9223372036854776.0,10.372666666666666,1.6036666666666668
30,9223372036854776.0,21.04266666666667,2.562
