param,ours,baseline-pruning,baseline
2000,276.92578125,552.05859375,8796093022208.0
4000,207.9765625,318.6184895833333,8796093022208.0
6000,185.20052083333334,245.62239583333334,8796093022208.0
8000,171.94791666666666,192.37109375,8796093022208.0
10000,164.49739583333334,172.78255208333334,8796093022208.0
