param,ours,baseline
5,0.092,3.5696666666666665
10,0.4166666666666667,114.39166666666667
15,1.2033333333333334,9223372036854776.0
20,3.053,9223372036854776.0
25,4.424666666666667,9223372036854776.0
30,6.982666666666667,9223372036854776.0
