param,ours,baseline
10,17.225260416666668,17.18359375
20,27.50390625,34.970052083333336
30,39.138020833333336,60.411458333333336
40,51.854166666666664,91.93098958333333
50,67.41536458333333,136.15625
100,167.59244791666666,8796093022208.0
150,310.3502604166667,8796093022208.0
200,497.8528645833333,8796093022208.0
250,708.80078125,8796093022208.0
