param,ours,baseline
5,0.453,33.498
10,1.574,9223372036854776.0
15,3.053,9223372036854776.0
20,4.466333333333333,9223372036854776.0
25,7.771666666666667,9223372036854776.0
30,12.333666666666666,9223372036854776.0
