param,ours,baseline
5,32.7578125,45.856770833333336
10,66.453125,133.40364583333334
15,113.03255208333333,8796093022208.0
20,167.59244791666666,8796093022208.0
25,239.53776041666666,8796093022208.0
30,311.4479166666667,8796093022208.0
