param,ours,baseline
5,81.50130208333333,83.82291666666667
10,117.26822916666667,8796093022208.0
15,167.59244791666666,8796093022208.0
20,237.8203125,8796093022208.0
25,324.0078125,8796093022208.0
30,415.7513020833333,8796093022208.0
