param,ours,baseline
10,0.021333333333333333,0.10333333333333333
20,0.10566666666666667,1.7113333333333332
30,0.15533333333333335,12.643666666666666
40,0.291,43.86866666666666
50,0.44866666666666666,149.927
100,3.053,9223372036854776.0
150,7.621333333333333,9223372036854776.0
200,16.012666666666664,9223372036854776.0
250,26.676333333333332,9223372036854776.0
