param,baseline,ours
5,3.5696666666666665,0.111
10,114.39166666666667,0.4703333333333333
15,9223372036854776.0,1.313
20,9223372036854776.0,2.4523333333333337
25,9223372036854776.0,4.362
30,9223372036854776.0,5.859
