param,baseline,ours
5,83.82291666666667,129.36067708333334
10,8796093022208.0,165.08463541666666
15,8796093022208.0,215.30729166666666
20,8796093022208.0,285.7369791666667
25,8796093022208.0,371.42578125
30,8796093022208.0,463.2578125
