param,baseline,ours
5,33.498,0.361
10,9223372036854776.0,1.2146666666666668
15,9223372036854776.0,2.4523333333333337
20,9223372036854776.0,4.506333333333333
25,9223372036854776.0,7.522666666666667
30,9223372036854776.0,10.606333333333334
