param,baseline,ours
5,45.856770833333336,44.322916666666664
10,133.40364583333334,89.97005208333333
15,8796093022208.0,148.70572916666666
20,8796093022208.0,215.30729166666666
25,8796093022208.0,299.5143229166667
30,8796093022208.0,383.0091145833333
