param,baseline,ours
10,17.18359375,21.481770833333332
20,34.970052083333336,36.756510416666664
30,60.411458333333336,53.08984375
40,91.93098958333333,70.86328125
50,136.15625,91.33984375
100,8796093022208.0,215.30729166666666
150,8796093022208.0,382.04296875
200,8796093022208.0,593.3372395833334
250,8796093022208.0,828.3567708333334
