param,reduce-kg,no-reduce
10,30.73046875,21.494791666666668
20,54.3359375,36.662760416666664
30,78.85026041666667,53.147135416666664
40,103.83723958333333,70.67447916666667
50,130.88020833333334,90.984375
100,284.5260416666667,214.9453125
150,468.78125,381.5846354166667
200,691.2591145833334,592.9231770833334
250,924.5924479166666,827.59375
300,1216.33984375,1120.3138020833333
400,1835.859375,1809.4114583333333
500,2597.6458333333335,2648.9361979166665
