param,reduce-kg,no-reduce
5,219.7421875,129.06510416666666
10,245.91536458333334,164.765625
15,284.5260416666667,214.9453125
20,339.4244791666667,285.4895833333333
25,408.2786458333333,371.3255208333333
30,478.8606770833333,463.1432291666667
