param,reduce-kg,no-reduce
0.0,2.377,2.0783333333333336
0.5,2.778,2.452
1.0,3.5723333333333334,2.875
1.5,6.360666666666667,6.620666666666667
2.0,25.581,25.887
2.5,66.92566666666667,73.49333333333333
4.0,9223372036854776.0,9223372036854776.0
