param,reduce-kg,no-reduce
10,0.03,0.017
20,0.132,0.083
30,0.19333333333333333,0.13666666666666666
40,0.3453333333333333,0.2586666666666667
50,0.649,0.38866666666666666
100,2.778,2.452
150,6.453666666666667,6.088333333333333
200,14.478,12.405
250,23.86,20.069
300,35.29666666666667,30.139333333333333
400,71.95066666666668,64.42266666666666
500,114.17,101.49833333333333
