param,reduce-kg,no-reduce
5,0.11133333333333333,0.07066666666666667
10,0.4796666666666667,0.3313333333333333
15,1.294,0.888
20,2.778,2.452
25,4.904,3.9243333333333337
30,7.463666666666667,6.271666666666667
40,15.679666666666666,13.422
50,22.746333333333332,19.96366666666667
