param,reduce-kg,no-reduce
3,9223372036854776.0,9223372036854776.0
5,214.31166666666667,227.901
25,7.364333333333333,6.999333333333333
50,2.778,2.452
75,0.9653333333333334,0.6506666666666666
95,0.3463333333333333,0.23066666666666666
