param,reduce-kg,no-reduce
5,65.95833333333333,44.23828125
10,130.04557291666666,89.96744791666667
15,203.4453125,148.48307291666666
20,284.5260416666667,214.9453125
25,376.2057291666667,298.90234375
30,469.2395833333333,382.8671875
40,689.95703125,591.6888020833334
50,930.4361979166666,832.94921875
