param,ours,ours-mono
0.0,174989.312,279956.1386666667
0.5,175707.47733333334,280677.0346666667
1.0,173297.664,277310.1226666667
1.5,175109.46133333334,284164.096
2.0,183384.74666666664,295496.3626666667
