param,ours,ours-mono
10,17915.904,15430.997333333335
20,28852.224,27413.162666666667
30,40908.117333333335,42866.005333333334
40,54434.47466666666,61276.16
50,70549.504,86496.59733333332
100,175707.47733333334,280677.0346666667
150,325505.024,578490.368
200,522093.9093333333,980994.7306666666
250,743148.2026666666,1498846.5493333333
