param,nuser,nusermono
10,15.25,16.7265625
20,23.1953125,28.515625
30,32.828125,44.99609375
40,44.33984375,65.625
50,58.0,95.51953125
100,148.7109375,285.6171875
150,291.90234375,624.640625
200,469.2109375,988.01171875
250,688.88671875,1534.66015625
