param,nuser,nusermono
1000,53.971,143.46
2000,36.697,76.515
3000,33.491,52.283
4000,34.294,53.456
5000,39.739,61.315
6000,33.924,49.688
7000,36.111,48.927
8000,27.019,42.092
9000,29.187,42.858
10000,31.063,41.157
