param,nuser,nusermono
10,0.056,0.04
20,0.219,0.208
30,0.668,0.403
40,0.964,0.825
50,2.231,1.586
100,9.282,10.13
150,16.249,23.752
200,29.609,53.555
250,36.697,76.515
