param,nuser,nusermono
1000,1204.0390625,2832.0390625
2000,688.88671875,1534.66015625
3000,510.2734375,1049.61328125
4000,419.5546875,861.30078125
5000,367.72265625,710.5390625
6000,327.88671875,636.55078125
7000,303.5390625,547.96484375
8000,280.72265625,483.9296875
9000,266.6953125,452.16796875
10000,255.71875,430.94140625
