param,NuSer,SERSolver,dbcop
500,63.83984375,71.30859375,19.75
750,52.12890625,60.9609375,19.58984375
1000,45.05078125,55.25,19.59375
1250,41.5859375,52.2421875,19.59375
1500,38.984375,49.63671875,19.71875
