param,NuSer,SERSolver,dbcop
15,17.328125,36.625,6.875
30,28.703125,43.90234375,11.3984375
45,45.05078125,55.25,19.59375
60,67.5390625,70.87890625,28.87109375
75,92.1953125,89.8203125,44.2109375
