param,NuSer,SERSolver,dbcop
5,24.328125,38.42578125,15.875
10,33.23046875,45.30859375,18.5
15,45.05078125,55.25,19.59375
20,62.08984375,69.25,20.74609375
25,81.49609375,84.35546875,21.26953125
