param,NuSer,SERSolver,dbcop
5,17.21484375,36.5,6.875
10,29.4453125,44.05078125,11.375
15,45.05078125,55.25,19.59375
20,66.82421875,70.984375,28.875
25,92.37890625,89.49609375,44.0859375
