param,ours,ours-mono
10,18061.99466666667,15609.856
20,28839.936,27347.626666666667
30,41039.189333333336,42887.850666666665
40,54373.03466666667,61416.789333333334
50,70690.13333333333,86709.58933333332
100,175733.41866666666,280626.5173333333
150,325425.8346666667,578732.032
200,522036.56533333333,980987.904
250,743231.488,1498901.1626666668
