param,ours,ours-mono
5,85460.30933333332,59382.44266666666
10,122964.65066666667,145027.072
15,175733.41866666666,280626.5173333333
20,249372.672,454063.44533333334
25,339746.816,677324.1173333334
30,435946.83733333333,894567.7653333334
