param,ours,ours-mono
0.0,175000.23466666666,279975.2533333333
0.5,175733.41866666666,280626.5173333333
1.0,173595.30666666667,277225.472
1.5,175226.88,284218.7093333333
2.0,183291.904,295363.9253333333
2.5,198617.77066666665,306165.0773333333
