param,ours,ours-mono
5,34349.056,34372.26666666666
10,69681.152,85155.84
15,118523.22133333333,177956.18133333334
20,175733.41866666666,280626.5173333333
25,251173.54666666666,434896.896
30,326576.8106666667,578079.4026666667
